protein	Training_1	Training_2	Training_3	Training_4	Training_5	Training_6	Training_7	Training_8	Training_9	Training_10	Training_11	Training_12	Training_13	Training_14	Training_15	Training_16	Training_17	Training_18	Training_19	Training_20	Training_21	Training_22	Training_23	Training_24	Training_25	Training_26	Training_27	Training_28	Training_29	Training_30	Training_31	Training_32	Training_33	Training_34	Training_35	Training_36	Training_37	Training_38	Training_39	Training_40	Training_41	Training_42	Training_43	Training_44	Training_45	Training_46	Training_47	Training_48	Training_49	Training_50	Training_51	Training_52	Training_53	Training_54	Training_55	Training_56	Training_57	Training_58	Training_59	Training_60	Training_61	Training_62	Training_63	Training_64	Training_65	Training_66	Training_67	Training_68	Training_69	Training_70	Training_71	Training_72	Training_73	Training_74	Training_75	Training_76	Training_77	Training_78	Training_79	Training_80
LARS2	1.827197099	1.86300453	2.642514745	0.936663693	1.197057714	1.713777766	1.463863991	1.514693678	3.44111715	2.420677724	3.133448132	NA	1.164552023	1.956828357	2.236042294	2.952962223	2.764136667	NA	2.759844042	2.861674148	1.024617046	1.752331024	2.276664072	2.022693667	NA	2.155889506	2.917625066	NA	1.940477466	2.097313897	2.680633277	2.884266825	2.596957293	4.146800434	1.546391371	2.263840555	2.616356437	2.092226666	2.735890485	3.536938738	3.797536865	1.758634524	1.687965774	2.285607627	1.764371654	1.091099925	2.51319454	3.86089434	1.380631133	1.150309365	4.465348398	2.312200288	NA	2.947654155	NA	3.258374932	1.087307464	1.199981424	1.189496681	1.687965774	2.550872869	2.730557069	2.971524258	1.958236364	1.143055037	1.087307464	NA	2.449358934	1.922408753	3.600872952	2.992670787	1.701475147	1.645198806	1.758061444	2.491256336	2.795100399	NA	0.930950624	2.573798044	1.511429309
LAS1L	1.459019324	2.196141948	2.21879237	1.590679168	NA	1.344897091	0.956133415	0.965212296	1.721839028	1.625057751	2.007463982	NA	NA	1.974826198	2.482522463	2.566605935	3.143663867	NA	2.759354637	2.407112736	1.058437704	2.08654132	NA	2.573718138	1.83389387	1.7214639	NA	NA	NA	1.383451251	1.108058898	1.405390528	1.419256645	2.081086194	1.051581815	1.336601573	NA	1.439265064	1.799963891	1.827676888	2.035237725	1.078236037	0.999407777	1.570177575	1.028687121	1.658008113	2.285906582	1.747334583	1.410372346	NA	3.020641315	NA	1.177640562	1.488201964	NA	2.500050686	2.374131102	NA	1.165776554	1.712017835	1.866316398	1.403103517	2.23045329	1.976200472	1.119072725	1.591933491	NA	2.269332535	NA	3.27508555	1.274240103	1.074460807	2.218632463	NA	NA	2.00603855	1.274146346	2.311026812	2.285906582	2.229830734
LASP1	4.176199017	4.341412663	4.196863645	4.661558394	4.11229552	4.387133256	4.559485331	4.541412697	4.833981767	4.644354616	4.299030591	3.69814513	3.810586095	4.271277249	4.11318457	4.567895984	3.583313993	3.640051187	3.550776295	4.478430236	4.050074679	5.013639617	3.642302013	2.61586867	4.237341395	4.334600607	4.774267923	4.27042801	4.225973073	4.385799381	4.387804949	4.522352707	3.575825566	4.408574542	3.995534511	4.727045805	3.995334499	3.721678394	4.182636188	3.89385243	4.19177454	4.665136141	4.116114493	3.992083237	2.983691218	3.992128835	4.259501069	4.75215922	4.502346295	4.186069685	4.229064568	4.169175999	3.228938562	4.140621425	3.858693289	4.073244467	4.247721947	4.307085832	3.434157135	4.585157067	4.786079284	4.579309599	3.515805421	3.230700844	4.065809847	3.977174979	3.607983483	4.02299672	3.528866141	4.054384557	4.21523072	4.065126976	4.329119675	4.93582941	3.925385475	4.005141656	4.065899286	3.791739114	3.677450918	3.679075251
LBP	2.528700966	1.146473452	NA	3.227022007	2.130881162	2.671895657	2.199315648	1.155618432	2.950831695	2.127857893	2.032634813	1.116223412	2.121440395	1.516144371	3.037417909	3.273920023	0.90592734	2.436853502	2.446817762	1.132664892	NA	2.448004129	2.33135692	1.182766913	2.320254799	1.881297444	0.955235686	3.347279455	1.005758296	3.482113363	NA	1.216907117	3.68957962	NA	2.875533381	2.366341921	1.244498934	4.009867464	1.131303384	2.491552791	1.128037516	1.516234902	2.024246637	1.155618432	3.754681768	0.919269495	2.852447043	NA	2.736599874	2.606161912	2.266712279	0.968059991	2.766313385	1.290397174	2.453229545	1.640003927	1.760417011	1.015007378	1.005758296	1.128037516	1.128037516	3.242792713	NA	1.864597297	3.433603971	NA	NA	2.029073735	2.658535017	1.505549913	1.870036519	2.444794063	NA	0.929182474	1.137279968	NA	1.870318527	2.976920178	3.188119237	1.825976664
LBR	3.417752641	3.826255594	4.368438033	3.52710048	3.38928456	3.619569778	3.463245446	2.471012367	3.478446456	3.825272381	4.094345088	4.112980192	3.403342408	4.000251156	4.188712057	2.744542071	3.335054382	3.600616746	3.29637418	4.142173072	3.008246779	3.527963584	2.702486217	1.349631997	2.924741554	3.603913025	2.98918796	2.692490187	3.769829164	3.112706574	3.539026825	3.766053619	4.679068266	4.097819153	2.837574733	3.40715937	3.266970608	3.676187906	3.875471072	4.113462546	3.963624482	3.136249918	3.657882143	3.901135127	2.527799401	3.537259754	3.834901323	3.865553575	3.566486893	3.395861996	3.170995959	3.746868037	3.664955471	4.212464079	2.890313306	4.663306079	4.130905446	3.382174235	2.543224395	3.265252654	4.015753281	3.681005484	3.908774299	3.397757318	2.974786271	2.4084348	2.98667742	4.036049444	3.465349316	3.898357699	3.903180795	4.362909459	4.132473458	2.547864287	3.332622754	4.259873011	4.374401097	3.142065738	3.928848736	4.072680091
LCN2	2.076795579	3.128944005	3.043038489	1.869191089	4.052692192	2.366107381	4.08383149	1.512372033	3.137968878	2.527505376	2.658405701	5.255223404	4.58638738	2.166395839	4.481342369	5.729352387	3.651389403	2.53684248	3.616332516	4.27899669	3.03432397	3.352198422	3.862559353	0.999143943	4.747313333	3.563263313	1.868501382	4.429896201	2.872777706	1.851774518	2.813123937	3.399806608	3.039873515	4.151272595	1.569240704	2.182380078	2.738349808	2.786683282	3.797520616	4.954762645	3.043592535	2.674020864	2.602519449	2.419446484	3.695475316	3.496105143	1.753429541	4.481244096	4.166561243	3.329938695	2.489399034	3.078167659	3.750760017	2.000247533	3.948141871	2.864232552	3.080299901	5.206358623	2.040644044	3.156235595	3.164210591	3.317295257	3.648435667	4.095466143	4.27761169	2.098059343	2.895365217	1.672173361	3.145418418	5.059284262	2.778763631	2.588191208	3.471921232	5.254099792	3.762279807	2.654234926	3.975447109	4.330043445	5.447558245	5.132605063
LCP1	5.700658037	5.169007256	5.28999089	5.255789101	5.164985699	5.851893608	7.046564356	6.481269778	4.863262699	5.347029139	6.018536993	6.230761079	5.974456594	5.253448984	6.285151426	5.673734065	6.618293911	5.498726122	5.400595598	6.140480527	5.542716153	5.150624603	5.443480728	5.173528081	5.897468328	5.998063837	5.188085705	6.294659613	5.421001519	4.75637952	4.549878271	6.331310229	4.365887393	5.402273959	5.468907346	5.67901906	5.024177845	6.480537591	5.485031612	5.813164594	5.209872313	4.940680991	4.676414858	5.697234355	5.688905736	6.431689024	5.275908613	5.967813875	6.057700429	5.770348873	4.627664652	5.296643191	5.922914128	5.43676699	5.637603693	5.557947063	6.335510107	5.796219892	4.312933522	5.501227484	6.066394215	5.569592691	5.282742129	6.287180094	5.436937766	6.441944845	6.004605871	5.638562874	5.862977196	5.183986422	4.958818268	5.604077471	6.400608077	5.548747269	6.305329984	5.774891283	5.944400683	6.03230713	6.213415429	5.524169835
LDHA	6.133002579	5.516287456	6.472535286	6.217611417	5.833639417	6.337117706	6.758450804	6.156512296	6.299242208	5.577947758	5.875878657	5.800741976	5.586610493	6.619860443	6.020774366	5.988327151	6.153577236	6.27443996	5.692713954	6.430949095	5.738202521	5.319394284	6.318184139	5.804567233	5.895837756	6.568920535	5.783835669	5.615369303	6.177858189	6.245345138	6.486466361	6.634869179	5.726288678	5.873591822	5.76839329	5.86039324	5.822361632	6.148718975	6.476803281	6.299812225	5.67066508	6.512117175	6.170512201	5.750110886	5.939831566	6.529009611	5.448765988	6.493473139	5.941671554	5.515408152	5.664722159	5.973787715	6.607447735	6.671994042	5.274744804	6.09602853	6.087639964	6.724749177	6.137001291	6.388833316	5.705246129	6.388294265	6.348640622	6.244928912	6.393946268	5.925481787	6.299639842	6.192005566	6.194183008	6.267587521	5.486345915	6.339713892	6.915001609	5.96958517	6.238728913	6.041427662	5.970038494	6.607208517	6.286065499	5.918759877
LDHAL6B	2.245510254	1.566666256	2.910511249	2.504276527	1.126670804	NA	1.945719288	2.49737286	1.230843409	1.566048587	1.008688648	2.591494665	1.094974946	1.777079699	1.008688648	1.976041487	NA	1.128665252	NA	1.489119287	2.663620336	NA	NA	NA	1.770071769	2.900030877	2.212480209	1.065801994	NA	1.330672343	2.884360631	3.279952758	2.226993254	1.452584763	1.469388679	1.400165064	1.887094261	1.506298704	1.87787518	2.211575031	0.990422569	1.679178761	2.229951457	2.845668935	2.343374134	2.347225717	1.008688648	0.990422569	0.996154878	NA	NA	1.07757114	NA	2.67523269	2.342027152	1.813578888	NA	1.129523468	NA	1.787452389	0.990422569	1.008688648	NA	2.058768592	1.770263499	1.53373464	NA	2.358836038	2.903827009	1.667552757	2.062122161	3.0978549	2.033885487	1.678610959	2.162197267	2.089356962	3.667848814	3.532080634	2.213205946	2.0043388
LDHB	5.968634444	4.856837751	4.432804727	5.644767032	5.655228932	5.606143826	5.615461937	5.403260965	5.070723597	4.23634441	5.361936077	5.249403386	5.339020698	5.458720649	4.662228258	4.463424339	5.537911963	4.979859521	5.395020304	5.236112149	4.498867913	4.181023463	5.576198017	5.319960834	5.6064569	5.610826428	5.356448582	5.252036151	5.086140415	4.894642576	3.765112381	5.635340719	5.146368499	5.733162865	5.113898363	5.151322489	4.691864319	5.302617917	5.195923272	5.384727592	6.010161128	5.202562588	5.478493228	4.882146465	5.498321499	5.278785006	5.741134567	5.601836703	5.748102131	5.605069779	2.846739716	5.2253431	6.144325833	5.692171658	5.172801041	6.01184914	5.174949355	4.09342288	5.440865107	3.608105387	5.067573558	5.023035628	5.304830768	5.374722306	5.339741525	5.041895424	5.047925266	5.538649775	5.042291023	5.71102861	4.936816671	5.338504508	4.811571247	5.603718189	5.529644906	4.781463352	4.613152275	5.188055437	5.453418677	5.745160293
LEMD2	2.578806186	2.975702673	1.222293688	2.597072454	2.630548003	2.255704641	1.220873089	1.230218617	2.388420787	3.592175916	3.015609265	NA	2.205228535	2.200625859	1.662077431	1.813951653	3.019376623	2.902124915	1.43515752	2.367091067	1.325250574	2.915262743	3.014062706	1.2536951	2.087538828	3.066142075	2.770538965	2.625483058	3.782078401	2.395904226	1.580071897	2.514668398	2.548417971	2.011839368	2.662407794	2.635120203	2.780917979	2.321362275	2.039275618	2.912747729	2.507110252	3.182569194	1.957373152	2.183880664	2.0270402	1.408508413	2.710765425	2.950227584	2.328703532	2.491903575	2.882223488	2.092775563	2.264591991	2.063304512	2.216266808	2.555525719	2.492541529	2.229493665	4.114276298	1.957373152	2.884435331	2.79625937	2.106662041	2.505655125	2.781306633	1.783906222	3.0406843	3.079210929	2.149123854	2.913531735	2.468109356	3.281637647	3.468499167	1.4937158	2.825437315	1.230218617	NA	2.731477489	2.383473544	1.222293688
LEMD3	2.25360826	1.029086811	NA	2.270556756	1.123513048	1.369684031	1.027847791	NA	1.245500817	1.644040877	NA	NA	NA	1.674876853	NA	0.986894478	0.986894478	NA	NA	1.789502511	NA	1.015135493	NA	1.056501869	1.066438542	NA	1.049981661	NA	1.114920559	1.835240144	1.876684129	NA	2.225433807	1.406250978	1.528386511	1.697457607	1.1029952	1.025614509	NA	NA	1.688069005	1.779930381	2.301169236	1.889702163	1.092730817	NA	2.074341051	2.22035685	1.767329934	NA	2.321300806	1.066438542	NA	NA	1.118013261	2.344472123	NA	1.126837915	2.593060977	2.139242906	2.021968753	1.386030864	2.119195452	1.564934064	1.889659564	1.605325103	NA	1.687001538	NA	1.025010527	NA	1.711882707	1.280389075	NA	1.760981297	NA	1.237974789	NA	0.988573266	NA
LETM1	4.122069519	3.282860166	3.093630673	2.68609641	3.274213805	3.898411308	3.349481185	3.366343152	3.761946853	3.171677204	2.221163983	2.877647842	3.700707292	3.845170984	3.945532791	4.355690566	3.15963777	2.954343603	3.785078519	4.121540579	3.423851189	3.722974297	3.33537604	4.117290392	2.046752707	3.565371003	4.061636072	2.628871982	4.389969065	3.700507495	3.983764941	3.557720804	3.492253503	4.05721037	2.775736722	3.379893912	3.07190178	2.792326722	3.826601825	2.944463087	3.976561914	2.758966132	3.451347826	3.726844828	1.969029043	3.674864904	3.732204048	4.067112973	3.859953442	3.132594091	5.207529753	3.70068657	3.300019235	4.186277138	2.628181087	3.615759123	3.33410353	3.489961052	2.176477173	4.388862077	3.649912681	3.513269856	2.237529598	4.170753006	3.54520836	3.289198204	2.960536539	4.147553178	2.56722939	3.64492094	3.196862377	3.378799078	3.533901478	3.942177181	3.411262752	3.46480899	4.365209678	3.908313167	3.220849517	3.086016274
LGALS1	5.133916195	5.414844998	5.536561231	6.044032672	5.701014071	6.004723668	5.797784553	5.707964267	4.71041331	4.068879408	4.599883163	5.771571324	6.26636768	5.834578239	5.202094579	4.80684265	5.396302534	4.799834439	5.594041281	6.22703825	5.668869826	5.926806952	5.724646487	5.735567459	6.603604818	6.123094997	5.687987808	5.479768346	4.568568602	5.04721987	4.828491654	4.678905665	3.124353659	5.115233392	5.968682198	6.750922072	4.667531536	5.14097063	5.328191766	4.620128256	5.597360767	6.240301102	5.997610373	5.496059088	5.084911604	4.813492935	4.293469289	5.577683133	4.698607099	6.398809017	4.033149729	5.87756145	4.447390828	4.109130184	6.179406204	3.346175686	5.979718645	3.297180525	6.753703061	5.083658453	6.630818214	6.168586449	5.136988225	4.636388252	4.988998281	5.217997793	5.531485173	4.313406508	4.972754052	5.159596873	4.420155289	5.538001271	5.312892145	5.592624238	4.121075944	4.484790963	4.056732983	6.379434083	5.777584471	4.226582901
LGALS3	5.437856182	5.043331857	6.06851536	5.215707299	5.940469986	5.719434891	4.668390544	5.627195831	4.961990385	4.898736978	5.42799251	5.162983787	5.670303558	5.470592214	5.429948757	5.25172393	5.351126563	5.110345919	5.056163009	6.134372726	5.382839168	4.625376227	5.264616874	4.856834699	5.614869232	5.34678097	5.646655442	5.010762668	5.169562813	5.543846803	6.163252302	6.503035791	5.187125816	5.295067529	5.587370805	5.826477333	5.819583105	5.231738122	6.806213641	5.645695783	6.21784394	5.984302296	5.720351508	6.030987367	5.133487589	5.428691706	5.215962253	4.814938803	5.424451259	5.819025648	5.626209082	5.61960154	5.477799284	5.61593942	4.756735353	5.360309932	5.619410456	5.770978038	6.17708607	7.028754303	5.497071248	5.962545485	5.073862523	5.504782655	5.250395843	6.074948621	5.256260037	6.026885335	5.126028297	5.510146225	4.841099127	6.075441708	6.040597313	6.747062381	5.895434074	5.898381637	4.707678071	5.815691576	5.535707141	5.161317776
LGALS3BP	4.355568979	3.969626217	3.662311285	4.10885801	4.73367983	4.413532604	3.640784098	4.827608209	4.756915934	4.502666627	3.934619554	4.851337367	4.282936847	4.348127123	4.909666189	4.939892056	4.633665156	4.191495796	5.082795336	5.242226123	3.26994928	5.025271535	4.30073353	4.05936717	4.172780938	4.169081141	3.948659017	5.366626921	5.090073682	6.08743787	4.612296418	3.749761455	4.479862866	4.34591464	4.541880716	4.16928197	3.350183819	4.618131038	4.211689671	4.412826498	5.115652016	4.582380558	3.783107979	3.868060798	3.022995546	4.06407567	5.273184377	3.913305254	4.523171746	3.47009126	4.661692873	4.332608724	4.963569236	4.174923877	4.594586463	4.519254195	5.049172473	4.128964269	4.572355913	4.404714545	4.356441252	3.567734069	4.239474439	4.386554057	4.289744938	5.054951031	4.040369972	4.689426143	3.202923961	5.063204357	3.932345662	3.891474834	5.767444779	4.386450301	4.600424314	3.991778456	3.122844309	4.747501678	4.601746401	4.756532892
LGALS4	6.038496378	6.080369686	6.685490637	5.947306268	5.498355986	5.687727368	3.692978597	6.233727217	5.641010903	5.15608239	5.979687914	4.981625451	6.550071304	5.95387436	5.690665355	5.077203351	5.9558781	4.557074456	6.151757627	5.456080441	5.518232123	5.639111672	5.509599807	6.263963959	4.816802725	4.744546505	5.297889739	5.543828149	5.631393302	6.428257961	7.842979025	7.314392353	5.395658527	5.481793025	5.902401509	5.999008914	6.329470597	5.910704261	6.554227787	5.652494176	6.171256437	6.380217788	5.810331906	6.624683967	4.848243629	4.929080788	5.659468011	6.076761913	5.883797144	3.664262861	6.972446092	6.364474321	4.731275184	5.805606325	5.238231829	6.120923095	5.988854824	5.943082805	5.477580235	6.817098306	5.853685059	5.423414979	6.000686159	5.859937178	3.149007973	6.749491563	5.513767991	6.00165589	4.96853691	6.05211837	4.153460654	5.745834674	5.306598402	7.385682542	5.938573084	6.270650143	5.376883206	5.270384456	5.951190977	5.964532954
LGALS9	NA	NA	1.054305564	NA	1.849265843	1.863827905	1.612001019	1.663462399	2.213718267	2.073625178	1.896127564	1.199470261	2.289632271	1.037912153	1.791821635	0.969632281	1.223868824	NA	2.016105284	1.042026836	NA	NA	1.683298492	NA	1.03756907	0.991458103	NA	1.114275717	2.880585317	0.969632281	1.715492712	2.313457853	1.037912153	NA	NA	1.037912153	NA	NA	2.227468095	2.259195359	1.037912153	1.635238071	2.58589103	NA	NA	0.984222049	1.191933776	1.475549089	2.248647057	NA	1.625792298	NA	2.688547688	1.389493603	NA	2.381844689	0.980589396	1.85716087	1.852371662	NA	1.99570015	0.969632281	2.002261548	1.055202291	NA	1.490152906	NA	1.037912153	NA	2.034225075	1.182907962	NA	2.082964653	1.634671071	2.633217956	2.138016048	2.01884869	1.702127157	1.821576186	NA
LGALS9B	1.777007378	1.807557358	0.81750221	1.983313576	NA	1.437399586	1.540725629	1.802106783	2.075620802	NA	1.25515627	1.551186755	NA	1.628371827	1.25515627	NA	1.582309015	2.379656156	1.274100913	1.775910424	0.897490455	1.718664714	2.158006714	2.665640606	1.343195899	2.075167717	2.173988599	2.217987692	1.396381266	1.25515627	1.325062867	1.25515627	1.523478546	1.937820182	NA	1.87097074	2.151778953	1.735153498	1.487660105	1.509911761	2.099747137	1.288162659	1.41716275	1.61366007	1.477087547	2.510827203	1.25515627	NA	0.809561938	2.251520457	2.086970093	1.343195899	NA	1.25515627	NA	1.25515627	1.269385875	NA	NA	1.854965859	1.540967023	1.25515627	2.572893876	1.305704879	1.338682057	1.91829838	1.56205763	2.17374408	1.37443756	1.297468462	NA	1.283489227	1.383648098	1.288162659	1.902042471	1.340171348	2.567329692	1.623212122	1.257024883	1.586695853
LGMN	2.469706808	1.037347002	1.997553865	2.859336491	1.885985242	1.823421756	2.797654058	2.483023332	1.647773283	1.851619242	1.626521528	2.104071214	1.842151472	1.021422875	2.650612503	1.689141417	2.485715261	1.90120506	2.42069237	2.239137709	1.923182001	1.458679036	2.195476359	2.122589061	2.554727722	2.92053037	1.729340068	1.814780588	1.851619242	2.279760674	1.749027955	1.749027955	NA	1.473515463	1.875639338	2.706542621	1.122012924	1.907893726	1.493007897	1.511242651	1.021422875	2.125826524	NA	2.375188821	2.628228349	3.079873434	1.916709283	1.446345295	1.89694795	1.793922133	1.657162646	1.762001162	1.903152485	1.851619242	1.889463377	1.400575198	2.863009853	2.729026512	1.09659171	2.679311818	1.687561132	1.749027955	2.311362187	2.060403729	1.760043573	1.942567945	2.142172845	1.410178902	2.284357421	1.654947269	1.203325376	2.035168665	1.756565809	1.666256715	2.391848736	1.045245758	1.203232926	2.052716036	0.98619905	1.037347002
LHPP	0.995789149	1.57091088	0.999879392	1.014058984	NA	0.983458395	0.998419625	1.617751383	NA	1.012936558	1.012936558	1.242766157	1.098267091	NA	1.012936558	1.012936558	NA	NA	NA	0.987578695	NA	0.983458395	1.063439174	NA	NA	2.401355486	NA	NA	NA	1.331022156	NA	1.012936558	NA	NA	1.012936558	1.400818558	NA	NA	NA	NA	NA	1.674576068	NA	2.409042021	NA	NA	NA	1.425824167	0.989280575	1.7968723	NA	1.766172495	NA	1.012936558	1.124928628	1.012936558	1.526212152	NA	1.88840573	NA	1.258851517	1.349883073	0.994093468	NA	NA	NA	NA	0.983458395	1.105279874	1.045656611	NA	1.034842227	1.300794686	1.038457137	NA	NA	NA	1.008030127	1.456948169	0.999879392
LIG1	1.529693799	0.98109273	2.364108751	0.995658789	NA	0.964233897	1.566155312	1.620987444	1.653457618	1.562618746	1.633483548	NA	NA	1.323997602	1.446308848	1.313723089	1.023887249	NA	NA	1.489752063	NA	NA	NA	1.014354043	1.09084118	1.045426205	NA	NA	NA	NA	NA	1.023887249	1.486043166	0.964233897	1.867113267	1.395356215	1.071143802	2.241348711	0.967218553	NA	2.731034948	NA	2.281308381	1.651778194	1.058566535	2.812256276	1.629936649	2.2001941	0.970210104	NA	1.891034567	NA	1.142486428	1.434169244	NA	2.597950842	1.034703871	1.141250954	NA	0.964233897	2.500447066	NA	2.692529585	0.982015628	NA	1.034703871	1.257746701	2.82939275	1.114621169	2.902577069	NA	1.045426205	1.29161317	4.382466629	1.501759546	0.989464677	1.233180483	1.662252785	1.458947951	1.617467119
LIG3	2.474741646	3.375094989	1.143019818	2.532599344	3.001104358	1.582454404	1.746736857	1.802094906	2.078090273	1.700425769	1.101903773	NA	1.691678422	1.125169493	2.22173108	2.832617022	2.289696243	2.750108228	1.477528847	1.669314791	NA	2.058420289	1.575331819	NA	0.969328397	2.232282885	2.035985584	2.464678677	1.700425769	1.573280634	NA	2.604684685	2.45524067	2.053414918	1.722625172	2.007567678	2.60888607	1.138575483	1.651518866	2.694784033	3.463148911	1.529990843	2.785546601	1.151872369	NA	2.455596306	2.425368133	3.166456035	2.098075573	0.972578332	3.50677403	0.969328397	1.748065243	2.027567229	NA	3.123448316	1.388539474	2.171337544	1.007797797	2.299555313	2.673025057	1.933683136	2.860296409	NA	2.075322708	2.123708247	1.96962207	2.993304182	1.683424069	3.471651197	2.97158325	1.870316149	1.943343382	NA	1.681505394	1.883412713	1.105038774	1.151872369	2.036678839	2.55147396
